# Raw word list for Tali Forth 2, adapted from Liara Forth 
# Scot W. Stevenson <scot.stevenson@gmail.com>
# First version: 21. Nov 2017
# This version: 18. Feb 2018

# This file is used as the basis to generate the JSON word list
# file via the Python tool text_to_json.py in the tools folder.
# The list consists of three whitespace-separated columns: The
# Forth word in lowercase, the name of the instruction in lowercase,
# and the group it belongs to. The first two columns may not contain
# spaces, the third column can. Word sets follow the naming conventions
# at https://forth-standard.org/standard/alpha for ANSI Forth and
# https://www.complang.tuwien.ac.at/forth/gforth/Docs-html/Word-Index.html
# for Gforth.

# Note that Forth usually uses the dash between word parts ("number-sign"),
# but the Ophis assembler chokes on this because it tries to do math. The
# same problem occurs with the slash in "fm/mod". We use underscores for 
# the labels instead ("number_sign", "fm_mod").

# The three words that begin with a # are not recognized by the Python script
# and must be added by hand

!               store                   ANSI core
#               number_sign             ANSI core
#>              number_sign_greater     ANSI core
#s              number_sign_s           ANSI core
'               tick                    ANSI core
(               paren                   ANSI core
(+loop)         paren_plus_loop         Tali Forth
(?do)           paren_q_do              Tali Forth
(do)            paren_do                Tali Forth
)               right_paren             ANSI core
*               star                    ANSI core
*/              star_slash              ANSI core
*/mod           star_slash_mod          ANSI core
+               plus                    ANSI core
+!              plus_store              ANSI core
+loop           plus_loop               ANSI core 
,               comma                   ANSI core
-               minus                   ANSI core
-rot            not_rot                 Gforth
-trailing       minus_trailing          ANSI string
.               dot                     ANSI core 
."              dot_quote               ANSI core
.(              dot_paren               ANSI core   
.byte           dot_byte                Tali Forth
.r              dot_r                   ANSI core ext
.s              dot_s                   ANSI tools
/               slash                   ANSI core 
/mod            slash_mod               ANSI core
/string         slash_string            ANSI string 
0               zero                    Tali Forth
0<              zero_less               ANSI core
0<>             zero_unequal            ANSI core ext
0=              zero_equal              ANSI core
0>              zero_greater            ANSI core ext
0branch         zero_branch             Tali Forth 
1               one                     Tali Forth
1+              one_plus                ANSI core
1-              one_minus               ANSI core
2               two                     Tali Forth 
2*              two_star                ANSI core
2>r             two_to_r                ANSI core ext
2drop           two_drop                ANSI core
2dup            two_dup                 ANSI core
2over           two_over                ANSI core 
2r>             two_r_from              ANSI core ext
2r@             two_r_fetch             ANSI core ext
2swap           two_swap                ANSI core
2variable       two_variable            ANSI double
:               colon                   ANSI core
;               semicolon               ANSI core
<               less_than               ANSI core
<#              less_number_sign        ANSI core
<>              not_equals              ANSI core ext
=               equal                   ANSI core
>               greater_than            ANSI core
>body           to_body                 ANSI core
>in             to_in                   ANSI core
>number         to_number               ANSI core
>r              to_r                    ANSI core
?               question                ANSI tools
?do             question_do             ANSI core ext
?dup            question_dup            ANSI core
@               fetch                   ANSI core
[               left_bracket            ANSI core
[']             bracket_tick            ANSI core 
[char]          bracket_char            ANSI core 
\               backslash               ANSI core ext
]               right_bracket           ANSI core 
abort           abort                   ANSI core
abort"          abort_quote             ANSI core
abs             abs                     ANSI core 
accept          accept                  ANSI core
again           again                   ANSI core ext
align           align                   ANSI core 
aligned         aligned                 ANSI core 
allot           allot                   ANSI core 
always-native   always_native           Tali Forth
and             and                     ANSI core 
at-xy           at_xy                   ANSI facility
base            base                    ANSI core 
begin           begin                   ANSI core 
bell            bell                    Tali Forth
bl              bl                      ANSI core 
bounds          bounds                  Gforth 
branch          branch                  Tali Forth
bye             bye                     ANSI tools ext
c!              c_store                 ANSI core 
c,              c_comma                 ANSI core 
c@              c_fetch                 ANSI core 
cell+           cell_plus               ANSI core
cells           cells                   ANSI core
char            char                    ANSI core
char+           char_plus               ANSI core
chars           chars                   ANSI core
cmove           cmove                   ANSI string
cmove>          cmove_up                ANSI string
cold            cold                    Tali Forth
compile,        compile_comma           ANSI core ext
compile-only    compile_only            Tali Forth
constant        constant                ANSI core 
count           count                   ANSI core 
cr              cr                      ANSI core 
create          create                  ANSI core 
d+              d_plus                  ANSI double
d-              d_minus                 ANSI double
d.              d_dot                   ANSI double
d.r             d_r                     ANSI double
d>s             d_to_s                  ANSI double
dabs            dabs                    ANSI double
decimal         decimal                 ANSI core
defer           defer                   ANSI core ext
depth           depth                   ANSI core
digit?          digit_question          Tali Forth
dnegate         dnegate                 ANSI double
do              do                      ANSI core
does>           does                    ANSI core
drop            drop                    ANSI core
dump            dump                    ANSI tools 
dup             dup                     ANSI core
else            else                    ANSI core
emit            emit                    ANSI core
erase           erase                   ANSI core ext
evaluate        evaluate                ANSI core
execute         execute                 ANSI core
exit            exit                    ANSI core
false           false                   ANSI core ext
fill            fill                    ANSI core
find            find                    ANSI core
find-name       find_name               Gforth
fm/mod          fm_slash_mod            ANSI core
here            here                    ANSI core
hex             hex                     ANSI core ext
hold            hold                    ANSI core
i               i                       ANSI core
if              if                      ANSI core
immediate       immediate               ANSI core
input           input                   Tali Forth
int>name        int_to_name             Tali Forth
invert          invert                  ANSI core 
j               j                       ANSI core 
key             key                     ANSI core 
latestnt        latestnt                Tali Forth
latestxt        latestxt                Gforth
leave           leave                   ANSI core
literal         literal                 ANSI core 
loop            loop                    ANSI core 
lshift          lshift                  ANSI core 
m*              m_star                  ANSI core
marker          marker                  ANSI core ext 
max             max                     ANSI core
min             min                     ANSI core
mod             mod                     ANSI core
move            move                    ANSI core
name>int        name_to_int             Gforth
name>string     name_to_string          Gforth
nc-limit        nc_limit                Tali Forth
negate          negate                  ANSI core
never-native    never_native            Tali Forth
nip             nip                     ANSI core ext
number          number                  Tali Forth
or              or                      ANSI core
output          output                  Tali Forth 
over            over                    ANSI core
pad             pad                     ANSI core ext
page            page                    ANSI facility 
parse           parse                   ANSI core ext
parse-name      parse_name              ANSI core ext
pick            pick                    ANSI core ext
postpone        postpone                ANSI core
quit            quit                    ANSI core 
r>              r_from                  ANSI core
r@              r_fetch                 ANSI core
recurse         recurse                 ANSI core 
refill          refill                  ANSI core ext 
repeat          repeat                  ANSI core
rot             rot                     ANSI core
rshift          rshift                  ANSI core
s"              s_quote                 ANSI core
s>d             s_to_d                  ANSI core 
sign            sign                    ANSI core
sliteral        sliteral                ANSI string
sm/rem          sm_slash_rem            ANSI core
source          source                  ANSI core
source-id       source_id               ANSI core ext
space           space                   ANSI core
spaces          spaces                  ANSI core
state           state                   ANSI core
swap            swap                    ANSI core
then            then                    ANSI core
to              to                      ANSI core ext
true            true                    ANSI core ext
tuck            tuck                    ANSI core ext
type            type                    ANSI core
u.              u_dot                   ANSI core
u.r             u_dot_r                 ANSI core ext
ud.             ud_dot                  Gforth
ud.r            ud_dot_r                Gforth
ud/mod          ud_slash_mod            Gforth
um*             um_star                 ANSI core
um/mod          um_slash_mod            ANSI core
unloop          unloop                  ANSI core
unused          unused                  ANSI core ext
value           value                   ANSI core ext 
variable        variable                ANSI core 
within          within                  ANSI core ext
word            word                    ANSI core 
words           words                   ANSI tools
words&sizes     words_and_sizes         Tali Forth
wordsize        wordsize                Tali Forth
xor             xor                     ANSI core
